Movie Name,Genre,Rating,Votes,Duration
1. Smartypants,Talk show,8.1, (234),
2. The Great Indian Kapil Show,Talk show,6.4, (35K),
3. Grave Conversations,Talk show,8.6, (45),
4. In the Know,Talk show,6.8, (690),
5. Lápiz y Papel,Talk show,8.1, (47),
6. Monét's Slumber Party,Talk show,6.6, (169),
7. Risque Business: The Netherlands and Germany,Talk show,5.7, (21),
8. Busy This Week,Talk show,8.0, (40),
9. Hot Ones Versus,Talk show,6.6, (18),
10. A Sentença,Talk show,6.7, (181),
11. The Rana Daggubati Show,Talk show,8.7, (30),
12. America's Most Wanted,Talk show,4.8, (100),
13. Love Her Films TV,Talk show,8.3, (40),
14. Influenced,Talk show,7.4, (75),
15. Lefties Losing It,Talk show,4.9, (56),
16. The Traitors: Uncloaked,Talk show,7.1, (81),
17. Dr. Phil Primetime,Talk show,9.1, (8),
18. La Revuelta,Talk show,7.5, (98),
19. Wasteland Wonders,Talk show,7.0, (23),
20. Thousandaires,Talk show,6.9, (41),
21. Die Tollie & Manila Show,Talk show,8.5, (99),
22. Girl Talk,Talk show,5.1, (45),
23. Buongiorno,Talk show,8.1, (9),
24. Love Island Aftersun,Talk show,9.1, (16),
25. Side Hustles,Talk show,9.1, (10),
26. A-laget,Talk show,3.0, (11),
27. The Sam Hyde Show,Talk show,5.7, (32),
28. The Jury,Talk show,6.9, (30),
29. We Got Time Today,Talk show,7.2, (11),
30. Picture This,Talk show,8.9, (59),
31. The Mike Busey Show,Talk show,8.9, (28),
